Timestamp (UTC),Osney-Lock-rainfall-15min-Qualified,Iffley-Lock-height-data-downstream,New-Botley-height-data,Minns-Estate-height-data,Osney-Lock-height-data-downstream,Godstow-Lock-height-data-downstream,Kings-Lock-height-data-downstream,Eynsham-Lock-height-data-downstream,Pinkhill-Lock-height-data-downstream,Farmoor-height-data,Northmoor-Lock-height-data-downstream,Shifford-Lock-height-data-downstream,Rushey-Lock-height-data-downstream,Radcot-Lock-height-data-downstream,Grafton-Lock-height-data-downstream,Buscot-Lock-height-data-downstream,St-Johns-Lock-height-data-downstream,Hannington-Bridge-height-data
2024-11-23T11:15:00Z,,2.29,1.09,1.27,2.42,1.9,1.79,1.98,1.84,0.85,2.03,2.46,2.27,2.08,1.77,1.95,1.47,2.78
2024-11-23T11:30:00Z,,2.28,1.09,1.27,2.4,1.89,1.78,1.98,1.84,0.85,2.03,2.46,2.26,2.08,1.77,1.94,1.46,2.78
2024-11-23T11:45:00Z,,2.29,1.09,1.27,2.42,1.9,1.78,1.98,1.83,0.85,2.02,2.46,2.26,2.08,1.77,1.94,1.46,2.77
2024-11-23T12:00:00Z,,2.28,1.09,1.27,2.39,1.89,1.77,1.98,1.83,0.85,2.02,2.45,2.26,2.08,1.77,1.94,1.46,2.77
2024-11-23T12:15:00Z,,2.29,1.09,1.27,2.41,1.89,1.78,1.98,1.83,0.85,2.0,2.45,2.26,2.08,1.77,1.94,1.46,2.77
2024-11-23T12:30:00Z,,2.29,1.09,1.27,2.4,1.89,1.78,1.98,1.84,0.85,2.02,2.45,2.25,2.08,1.77,1.94,1.45,2.77
2024-11-23T12:45:00Z,,2.29,1.08,1.27,2.41,1.89,1.77,1.98,1.83,0.84,2.01,2.45,2.26,2.08,1.77,1.94,1.46,2.77
2024-11-23T13:00:00Z,,2.3,1.08,1.27,2.41,1.89,1.77,1.98,1.83,0.84,2.01,2.45,2.25,2.08,1.76,1.93,1.46,2.77
2024-11-23T13:15:00Z,,2.29,1.08,1.27,2.4,1.89,1.78,1.98,1.83,0.84,2.01,2.44,2.25,2.08,1.76,1.93,1.46,2.77
2024-11-23T13:30:00Z,,2.29,1.08,1.26,2.41,1.89,1.77,1.97,1.83,0.84,2.01,2.44,2.25,2.08,1.76,1.93,1.45,2.77
