Timestamp (UTC),Height (m)
2024-11-23T11:15:00Z,1.27
2024-11-23T11:30:00Z,1.27
2024-11-23T11:45:00Z,1.27
2024-11-23T12:00:00Z,1.27
2024-11-23T12:15:00Z,1.27
2024-11-23T12:30:00Z,1.27
2024-11-23T12:45:00Z,1.27
2024-11-23T13:00:00Z,1.27
2024-11-23T13:15:00Z,1.27
2024-11-23T13:30:00Z,1.26
2024-11-23T13:45:00Z,1.26
2024-11-23T14:00:00Z,1.26
2024-11-23T14:15:00Z,1.26
2024-11-23T14:30:00Z,1.26
2024-11-23T14:45:00Z,1.26
2024-11-23T15:00:00Z,1.27
2024-11-23T15:15:00Z,1.27
2024-11-23T15:30:00Z,1.28
2024-11-23T15:45:00Z,1.28
2024-11-23T16:00:00Z,1.29
2024-11-23T16:15:00Z,1.29
2024-11-23T16:30:00Z,1.29
2024-11-23T16:45:00Z,1.28
2024-11-23T17:00:00Z,1.28
2024-11-23T17:15:00Z,1.27
2024-11-23T17:30:00Z,1.27
2024-11-23T17:45:00Z,1.27
2024-11-23T18:00:00Z,1.27
2024-11-23T18:15:00Z,1.26
2024-11-23T18:30:00Z,1.26
2024-11-23T18:45:00Z,1.26
2024-11-23T19:00:00Z,1.26
2024-11-23T19:15:00Z,1.26
2024-11-23T19:30:00Z,1.27
2024-11-23T19:45:00Z,1.27
2024-11-23T20:00:00Z,1.27
2024-11-23T20:15:00Z,1.26
2024-11-23T20:30:00Z,1.26
2024-11-23T20:45:00Z,1.26
2024-11-23T21:00:00Z,1.26
2024-11-23T21:15:00Z,1.26
2024-11-23T21:30:00Z,1.26
2024-11-23T21:45:00Z,1.26
2024-11-23T22:00:00Z,1.26
2024-11-23T22:15:00Z,1.25
2024-11-23T22:30:00Z,1.25
2024-11-23T22:45:00Z,1.25
2024-11-23T23:00:00Z,1.25
2024-11-23T23:15:00Z,1.26
2024-11-23T23:30:00Z,1.26
2024-11-23T23:45:00Z,1.26
2024-11-24T00:00:00Z,1.27
2024-11-24T00:15:00Z,1.28
2024-11-24T00:30:00Z,1.3
2024-11-24T00:45:00Z,1.32
2024-11-24T01:00:00Z,1.32
2024-11-24T01:15:00Z,1.32
2024-11-24T01:30:00Z,1.32
2024-11-24T01:45:00Z,1.32
2024-11-24T02:00:00Z,1.32
2024-11-24T02:15:00Z,1.32
2024-11-24T02:30:00Z,1.33
2024-11-24T02:45:00Z,1.33
2024-11-24T03:00:00Z,1.33
2024-11-24T03:15:00Z,1.33
2024-11-24T03:30:00Z,1.34
2024-11-24T03:45:00Z,1.35
2024-11-24T04:00:00Z,1.36
2024-11-24T04:15:00Z,1.36
2024-11-24T04:30:00Z,1.36
2024-11-24T04:45:00Z,1.37
2024-11-24T05:00:00Z,1.37
2024-11-24T05:15:00Z,1.37
2024-11-24T05:30:00Z,1.37
2024-11-24T05:45:00Z,1.38
2024-11-24T06:00:00Z,1.38
2024-11-24T06:15:00Z,1.38
2024-11-24T06:30:00Z,1.39
2024-11-24T06:45:00Z,1.39
2024-11-24T07:00:00Z,1.4
2024-11-24T07:15:00Z,1.4
2024-11-24T07:30:00Z,1.41
2024-11-24T07:45:00Z,1.41
2024-11-24T08:00:00Z,1.42
2024-11-24T08:15:00Z,1.42
2024-11-24T08:30:00Z,1.43
2024-11-24T08:45:00Z,1.43
2024-11-24T09:00:00Z,1.44
2024-11-24T09:15:00Z,1.45
2024-11-24T09:30:00Z,1.46
2024-11-24T09:45:00Z,1.46
2024-11-24T10:00:00Z,1.47
2024-11-24T10:15:00Z,1.48
2024-11-24T10:30:00Z,1.49
2024-11-24T10:45:00Z,1.5
2024-11-24T11:00:00Z,1.51
2024-11-24T11:15:00Z,1.52
2024-11-24T11:30:00Z,1.53
2024-11-24T11:45:00Z,1.54
2024-11-24T12:00:00Z,1.55
2024-11-24T12:15:00Z,1.57
2024-11-24T12:30:00Z,1.59
2024-11-24T12:45:00Z,1.61
2024-11-24T13:00:00Z,1.63
2024-11-24T13:15:00Z,1.65
2024-11-24T13:30:00Z,1.66
2024-11-24T13:45:00Z,1.67
2024-11-24T14:00:00Z,1.68
2024-11-24T14:15:00Z,1.69
