Timestamp (UTC),Osney-Lock-rainfall-15min-Qualified,Iffley-Lock-height-data-downstream,New-Botley-height-data,Minns-Estate-height-data,Osney-Lock-height-data-downstream,Godstow-Lock-height-data-downstream,Kings-Lock-height-data-downstream,Eynsham-Lock-height-data-downstream,Pinkhill-Lock-height-data-downstream,Farmoor-height-data,Northmoor-Lock-height-data-downstream,Shifford-Lock-height-data-downstream,Rushey-Lock-height-data-downstream,Radcot-Lock-height-data-downstream,Grafton-Lock-height-data-downstream,Buscot-Lock-height-data-downstream,St-Johns-Lock-height-data-downstream,Hannington-Bridge-height-data
2025-08-23T04:00:00Z,0.0,2.27,0.78,1.02,2.21,1.53,1.66,1.6,1.69,0.79,1.62,1.65,1.64,1.7,1.57,1.6,1.45,1.99
2025-08-23T04:15:00Z,0.0,2.27,0.78,1.02,2.21,1.53,1.66,1.6,1.69,0.79,1.62,1.65,1.64,1.7,1.57,1.6,1.45,1.99
2025-08-23T04:30:00Z,0.0,2.27,0.78,1.02,2.21,1.53,1.66,1.6,1.69,0.79,1.62,1.65,1.64,1.7,1.57,1.6,1.45,1.99
2025-08-23T04:45:00Z,0.0,2.26,0.78,1.02,2.21,1.53,1.66,1.6,1.69,0.79,1.62,1.65,1.64,1.7,1.57,1.6,1.45,1.99
2025-08-23T05:00:00Z,0.0,2.26,0.78,1.02,2.21,1.53,1.66,1.6,1.69,0.79,1.62,1.65,1.64,1.7,1.57,1.6,1.45,1.99
2025-08-23T05:15:00Z,0.0,2.26,0.78,1.02,2.21,1.53,1.66,1.6,1.69,0.79,1.62,1.65,1.64,1.7,1.57,1.6,1.45,1.99
2025-08-23T05:30:00Z,0.0,2.26,0.78,1.02,2.21,1.53,1.66,1.6,1.69,0.79,1.62,1.65,1.64,1.7,1.57,1.6,1.45,1.99
2025-08-23T05:45:00Z,0.0,2.26,0.78,1.02,2.21,1.53,1.66,1.6,1.69,0.79,1.62,1.65,1.64,1.7,1.57,1.6,1.45,1.99
2025-08-23T06:00:00Z,0.0,2.26,0.78,1.02,2.21,1.53,1.66,1.6,1.69,0.79,1.62,1.65,1.64,1.7,1.57,1.6,1.45,1.99
2025-08-23T06:15:00Z,0.0,2.26,0.78,1.02,2.21,1.53,1.66,1.6,1.69,0.79,1.62,1.65,1.64,1.7,1.57,1.6,1.45,1.99
2025-08-23T06:30:00Z,0.0,2.26,0.78,1.02,2.21,1.53,1.66,1.6,1.69,0.79,1.62,1.65,1.64,1.7,1.57,1.6,1.45,1.99
2025-08-23T06:45:00Z,0.0,2.26,0.78,1.02,2.21,1.53,1.66,1.59,1.69,0.79,1.62,1.65,1.64,1.7,1.57,1.6,1.45,1.99
2025-08-23T07:00:00Z,0.0,2.26,0.78,1.02,2.21,1.53,1.66,1.59,1.69,0.79,1.62,1.65,1.64,1.7,1.57,1.6,1.46,1.99
2025-08-23T07:15:00Z,0.0,2.26,0.78,1.02,2.2,1.52,1.66,1.59,1.69,0.79,1.62,1.65,1.64,1.7,1.57,1.6,1.46,1.99
2025-08-23T07:30:00Z,0.0,2.25,0.78,1.02,2.2,1.52,1.66,1.59,1.69,0.79,1.62,1.65,1.64,1.7,1.57,1.6,1.46,1.99
2025-08-23T07:45:00Z,0.0,2.25,0.79,1.02,2.21,1.52,1.66,1.6,1.69,0.79,1.62,1.65,1.64,1.7,1.57,1.6,1.45,1.99
